0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:57:42 +0300] "GET /SecondWeb/pages/adminMain.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:57:44 +0300] "GET /SecondWeb/controller?command=logout HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:57:45 +0300] "GET /SecondWeb/pages/login.jsp HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:57:46 +0300] "GET /SecondWeb/pages/signup.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:01 +0300] "POST /SecondWeb/controller?command=signup HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:03 +0300] "GET /SecondWeb/pages/login.jsp HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:11 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:29 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:31 +0300] "GET /SecondWeb/pages/signup.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:39 +0300] "POST /SecondWeb/controller?command=signup HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:42 +0300] "GET /SecondWeb/pages/login.jsp? HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [21/Apr/2017:16:58:46 +0300] "POST /SecondWeb/controller?command=login HTTP/1.1" 200 2853
